var,mean,min,max,sd
alk,99.923485572283,5.075,282.5,60.6113227784245
area,2.84617967369159,0.07515793,22.50266653,3.78595498656246
color,24.5520078883514,0,160,22.2920777076993
depth,12.3720314018692,1.524,63.3984,9.57076605823101
perim,8.47804359317794,0.00134561000012422,57.4856248,10.0661754327576
secchi,2.91359119747834,0.25,40.875,3.1445273071565
tp,0.0725128637413846,0.00713320783606446,0.834046568627451,0.0931761379888274
alt,376.168224299065,180,593,76.4110438618799
prec,18.8971962616822,12,31,3.80495002389062
tmax,27.131308411215,22.5,29.3,1.29636587320321
tmean,5.00408878504673,2.61666666666667,7.41666666666667,1.2025429879555
tmin,-18.9224299065421,-23.4,-12.6,1.8989400755571
