spp,cli,cli alt,cli prec,cli tmax,cli tmean,cli tmin,loc,loc alk,loc area,loc color,loc depth,loc secchi,loc tp,spa,spa n
spp,cli,cli,cli,cli,cli,cli,loc,loc,loc,loc,loc,loc,loc,spa,spa
spp,%,alt,prec,tmax,tmean,tmin,%,alk,area,color,depth,secchi,tp,%,n
Assemb. comp.,7.39307443827423,,**,,**,,13.8130009943949,**,**,*,*,,,15.0102340718071,7
Richness,6.92606250916997,***+,***-,***+,***-,*+,4.73149872712844,***+,,***-,***-,***-,***-,25.7500832051049,47
P. amplifolius,1.54768901311583,,*+,,***-,,14.5459147224738,***-,***-,**-,ns-,,***-,32.4725966359858,48
P. crispus,43.3978157164357,*-,ns+,***+,***+,***-,21.9680592555085,***+,***-,***-,***-,***-,*-,66.6284123051603,44
P. epihydrus,18.7234864912197,***+,,**-,*+,,46.869703576928,***-,***-,***+,*-,ns-,,65.1188298868335,29
P. filiformis,30.5730171973042,,ns-,,,,50.9025438851276,,ns-,,ns+,,,99.9999982898725,2
P. friesii,10.761138053583,***+,***-,***-,**+,ns-,7.2318882400686,***+,***+,***-,***-,***+,***-,44.2773043996354,47
P. gramineus,13.1802751485164,***-,**+,**+,***-,*-,13.0453089858563,***-,***+,***-,,***+,***-,32.0271334931863,41
P. illinoensis,16.8206895668853,***-,***-,*+,***-,,30.3027051145265,***+,***-,***-,**+,***+,***-,61.1502510214386,48
P. natans,37.8656412318422,ns+,*-,***-,***+,***-,20.5435766531873,***+,,***+,***+,,***-,61.3531891920382,40
P. oakesianus,26.6484935160074,ns-,ns-,ns+,ns-,*+,99.9999949480987,ns-,,ns+,,,,97.5799616212676,2
P. pectinatus,44.0239786045202,*-,***-,***+,*-,***+,45.6269163541841,***+,***-,**-,,***-,,70.2041507817307,44
P. praelongus,11.2665347659867,,**-,***+,***-,***+,6.36408420623356,ns+,*+,***-,**-,,***-,46.6264181878917,49
P. pusillus,41.5702537630399,***+,***+,***-,***+,***-,43.4264246499902,***-,***+,***-,***-,,*-,61.1147296429589,37
P. richardsoni,3.13915544678212,**+,***-,***+,**-,***+,1.81112015283027,***+,***+,ns-,***-,,***-,24.2503281353626,45
P. robbinsii,4.28490738111947,*+,**+,***+,***-,***+,26.4855170925931,***-,***-,***-,**+,*+,*+,57.0002526105466,52
P. strictifolius,20.0522858049662,***+,**+,***+,***-,***+,34.8448670656113,***-,***+,***-,***-,***-,***-,67.8310211367825,32
P. zosteriformis,14.5205420240063,***+,,*+,***+,***-,5.9332010456595,***+,**+,,***-,ns-,***-,32.6410222573874,44
